fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
323.8186950683594,0.20715323090553284,1.613734497141195e-07,global,all,37,37,transformer_text
319.0221252441406,0.19515550136566162,1.7357135106976784e-07,per_class,flora,14,14,transformer_text
477.2068176269531,0.3000398874282837,1.5266238051481196e-07,per_class,fauna,6,6,transformer_text
318.60894775390625,0.18125957250595093,1.9258850159076246e-07,per_class,dekoratif,11,11,transformer_text
423.18414306640625,0.24613434076309204,3.297166131233098e-07,per_class,geometris,6,6,transformer_text
