fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
268.74530029296875,0.1471402645111084,2.0647654253025394e-07,global,all,37,37,transformer_text
336.9430847167969,0.1717786341905594,1.850865771757526e-07,per_class,flora,14,14,transformer_text
382.4223327636719,0.27790555357933044,1.3605013293727097e-07,per_class,fauna,6,6,transformer_text
297.4339904785156,0.1895923763513565,1.550007340256343e-07,per_class,dekoratif,11,11,transformer_text
397.9057312011719,0.2725622057914734,2.6307196776542696e-07,per_class,geometris,6,6,transformer_text
