epoch,g_loss,d_loss,fm_loss,r1,time_min,experiment_mode
1,0.8960007412566079,1.7056525581412845,0.07318367933233579,0.002078440868192249,0.391499666372935,cat
2,1.9063478708267212,1.0453230970435672,0.16993197012278768,0.0004766424083047443,0.8254322330156962,cat
3,2.7234104606840344,0.7168709370825026,0.2673346648613612,0.0015452510366837184,1.4593077619870505,cat
4,2.352855430708991,1.048839862147967,0.2476824459930261,0.00141525123682287,2.15949049393336,cat
5,1.1309654754069116,1.6920904715855916,0.058323356322944164,0.00010802556708869006,2.846643265088399,cat
6,0.9497426698605219,1.6467564470238156,0.04161000303510162,0.000176432012166414,3.5280791759490966,cat
7,0.6988514363765717,1.9762260384029813,0.021850498134477273,4.448272779376971e-05,4.245811565717061,cat
8,0.8851675242185593,1.887025899357266,0.02525628213253286,5.534935432175795e-05,4.947877625624339,cat
9,0.7852567632993063,1.882196757528517,0.028696262277662754,0.00010069674398336146,5.659812355041504,cat
10,0.9185319128963683,1.732658776972029,0.04245101660490036,4.06992686395016e-05,6.366520841916402,cat
11,0.9127432505289713,1.838235769006941,0.032834942866530686,5.480367043572995e-05,7.078504073619842,cat
12,1.0788066652086046,1.7030512425634596,0.04894370627072123,0.00012285863825430474,7.77639148235321,cat
13,1.2365602917141385,1.7202880051400926,0.052041512086159654,7.528257426909274e-05,8.478219699859618,cat
14,0.9334274000591702,1.9072161581781175,0.030851413392358355,6.838536096943749e-05,9.190473635991415,cat
15,0.8228757033745447,1.858992940849728,0.03114236280735996,2.3575679127437372e-05,9.892247891426086,cat
16,0.9914684262540605,1.790978537665473,0.036236890902121864,4.7538442433708245e-05,10.57837261358897,cat
17,0.9486540092362298,1.8296736942397223,0.03626430365774366,7.954017362660832e-05,11.280546708901722,cat
18,1.0898986458778381,1.756749497519599,0.04297478973037667,9.678385686129332e-05,11.965896673997243,cat
19,1.1602704756789737,1.7343294355604384,0.052163349361055426,0.00013198442239728238,12.657404025395712,cat
20,1.0287641419304743,1.857359614637163,0.0436871602303452,5.7210608954644864e-05,13.350542438030242,cat
21,0.897210333082411,1.8803209397527907,0.03314606866074933,2.502026392095205e-05,14.05751946369807,cat
22,0.9153100616402097,1.8916695051723056,0.02908742893487215,2.5984761628529264e-05,14.755325524012248,cat
23,1.0450052983231015,1.7763107882605658,0.037838105836676225,0.00014747467098964585,15.436614942550658,cat
24,0.8620618681112925,1.813695169157452,0.04373774542990658,5.0043289472038545e-05,16.108673179149626,cat
25,0.9544308914078606,1.7457048495610554,0.04252478159550163,7.758909325477564e-05,16.805150457223256,cat
26,1.0059119363625844,1.7603508830070496,0.03700210329973035,4.9020021429492365e-05,17.502000041802724,cat
27,0.753276515338156,1.7630534966786702,0.03429785588135322,0.00013522708064152134,18.212892321745553,cat
28,0.8903924624125162,1.7893663578563266,0.036724650094078645,9.998735428477327e-05,18.902243117491405,cat
29,0.7903468641969893,1.8174333175023396,0.03527782065793872,4.463131901704603e-05,19.59100782473882,cat
30,1.0136744810475244,1.6913065711657207,0.03943496932172113,7.379695954215195e-05,20.273161351680756,cat
31,1.036816222800149,1.7297781970765855,0.05907755924595727,0.00010424984955332345,20.958933107058208,cat
32,1.0866595672236548,1.722742908530765,0.052076769371827446,5.613456273244487e-05,21.62537100315094,cat
33,0.9350125524732802,1.8180646498998005,0.03936729859560728,8.565728138718341e-05,22.308171808719635,cat
34,0.6676766342586942,1.8202289077970717,0.033156394958496094,4.2593349159384765e-05,22.99548393090566,cat
35,0.85014894273546,1.783343619770474,0.03845714291350709,4.548358912062314e-05,23.668842740853627,cat
36,0.8706964453061422,1.7594615618387859,0.049664543113774724,8.084719431483083e-05,24.33806035121282,cat
37,1.0516817371050518,1.6191157301266987,0.05080132952166928,6.505002966150641e-05,25.024023457368216,cat
