fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
300.18060302734375,0.18559695780277252,1.1774746155879257e-07,global,all,37,37,cat
372.302490234375,0.2137889713048935,1.7982929989557306e-07,per_class,flora,14,14,cat
417.5892639160156,0.25619035959243774,1.6301625294090627e-07,per_class,fauna,6,6,cat
317.6891784667969,0.2184736430644989,1.9157121755597473e-07,per_class,dekoratif,11,11,cat
357.5763244628906,0.2044001817703247,1.7681594499663333e-07,per_class,geometris,6,6,cat
