fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
375.7383117675781,0.31583210825920105,2.1989187359849893e-07,global,all,37,37,cat
386.3052062988281,0.32963961362838745,1.521962360584439e-07,per_class,flora,14,14,cat
445.4934387207031,0.3281995356082916,1.537060398959511e-07,per_class,fauna,6,6,cat
335.6391906738281,0.28797221183776855,1.7192608936511533e-07,per_class,dekoratif,11,11,cat
466.82696533203125,0.3058633506298065,1.0811303496893743e-07,per_class,geometris,6,6,cat
