fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
297.61822509765625,0.21073080599308014,1.873758037618245e-07,global,all,37,37,hash_text
304.84051513671875,0.21072837710380554,1.094195809514531e-07,per_class,flora,14,14,hash_text
380.7239074707031,0.27213311195373535,2.023048750743328e-07,per_class,fauna,6,6,hash_text
311.26995849609375,0.23676002025604248,1.8313278360437835e-07,per_class,dekoratif,11,11,hash_text
515.7020874023438,0.4002620577812195,1.5949116516367212e-07,per_class,geometris,6,6,hash_text
