epoch,g_loss,d_loss,fm_loss,r1,time_min,experiment_mode
1,0.885047492881616,1.7348142034477658,0.06410973167253865,0.002836251398548484,1.2595099568367005,hash_text
2,2.0654362390438714,0.8893768472803963,0.17401983278493086,0.0008725570514798164,2.5940648992856343,hash_text
3,3.4344517522388034,0.4839816093444824,0.28941086265775895,0.0015012437684668435,3.224530557791392,hash_text
4,1.8843853837913938,1.1926732261975606,0.10899019944998953,0.0001948991816283928,3.98972985347112,hash_text
5,1.7574485672844782,1.3842269877592723,0.0883439081824488,0.0002904538996517658,5.399396920204163,hash_text
6,1.3826198710335627,1.6528314285808139,0.06300187628302309,0.0002040937284214629,6.838533131281535,hash_text
7,1.006306956211726,1.8228329552544489,0.04238866062627898,9.248762701948483e-05,8.247510294119516,hash_text
8,1.044720499465863,1.7133605281511943,0.04367290364785327,8.574023377150297e-05,9.673905694484711,hash_text
9,0.8991742995050218,1.7820224828190274,0.03730105029212104,0.00015177958024044832,11.091128925482431,hash_text
10,1.271239052216212,1.5841191709041595,0.04659174299902386,8.192943641915917e-05,12.50366503794988,hash_text
11,1.2686559475130506,1.4033053186204698,0.058007430699136525,0.00012862832388944097,13.931465029716492,hash_text
12,1.53344350722101,1.5777786374092102,0.06833196679751079,0.00017783422178278366,15.333849660555522,hash_text
13,1.480722427368164,1.4333560566107433,0.08439899629188909,0.00018555502821173932,16.778291010856627,hash_text
14,1.1384284529421065,1.8393520712852478,0.04844561798704995,7.384329930775696e-05,18.207842485109964,hash_text
15,0.794812281926473,1.8658173084259033,0.029234052532249026,2.8701182196123733e-05,19.658651864528657,hash_text
16,0.924776522649659,1.7918274468845792,0.03679747206883298,4.465358344734543e-05,21.059598712126412,hash_text
17,0.8939727379216088,1.810815903875563,0.03213268880628877,0.00011015819553803239,22.493019473552703,hash_text
18,0.951857672797309,1.778314795758989,0.03656636457890272,4.392667000906335e-05,23.92597932020823,hash_text
19,0.9875949886110094,1.8737416201167636,0.03570775987787379,4.6937610022723675e-05,25.34075132608414,hash_text
20,0.7214589847458733,1.8314788805113897,0.030440984811219905,5.544205972303947e-05,26.756589206059775,hash_text
21,0.7754195150401857,1.8210579885376825,0.02973725346641408,2.994882783645557e-05,28.16964750289917,hash_text
22,0.8375816494226456,1.7960070437855191,0.03396458147714535,4.073797350025011e-05,29.556906135876975,hash_text
