fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
288.187744140625,0.1769740730524063,1.5636992145573458e-07,global,all,37,37,hash_text
282.70452880859375,0.15773290395736694,1.3220949313108576e-07,per_class,flora,14,14,hash_text
479.92413330078125,0.3704727292060852,1.1619084006042613e-07,per_class,fauna,6,6,hash_text
333.2444152832031,0.21404844522476196,2.296133061463479e-07,per_class,dekoratif,11,11,hash_text
432.1267395019531,0.38062718510627747,7.177349914400111e-08,per_class,geometris,6,6,hash_text
