fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
353.9281311035156,0.26331087946891785,2.051820047199726e-07,global,all,37,37,cat
345.09552001953125,0.24380935728549957,1.8450982963713614e-07,per_class,flora,14,14,cat
585.6925659179688,0.5744044184684753,1.385086818572745e-07,per_class,fauna,6,6,cat
355.1617431640625,0.24998386204242706,2.1820918050252658e-07,per_class,dekoratif,11,11,cat
459.64031982421875,0.338506281375885,1.8735210005615954e-07,per_class,geometris,6,6,cat
