epoch,g_loss,d_loss,fm_loss,r1,time_min,experiment_mode
1,0.9506893224186368,1.6263221717543073,0.06447402615514067,0.0030516722860435643,0.7249522010485331,transformer_text
2,1.8368520074420505,0.9445556534661187,0.12680784405933487,0.0005667037847969267,1.4705258131027221,transformer_text
3,1.967214908864763,1.0162683029969533,0.14103888182176483,0.0010456960234377119,2.2104483127593992,transformer_text
4,2.2057063115967646,1.0358701679441664,0.205338590261009,0.001386435909403695,2.933357612291972,transformer_text
5,2.294733921686808,0.7761540429459678,0.2374429785543018,0.0022012475464079115,3.6520072340965273,transformer_text
6,1.4659205112192366,1.4737209677696228,0.09258707297138041,5.03407661906547e-05,4.3757869323094685,transformer_text
7,0.841611459851265,1.8620869153075748,0.03295520041137934,5.7384559315525825e-05,5.102523601055145,transformer_text
8,1.017525530523724,1.6697275042533875,0.03814755959643258,9.179672148699562e-05,5.809218998750051,transformer_text
9,1.2240938875410292,1.6222880681355794,0.044850025326013565,0.00032459145101408166,6.5688041806221005,transformer_text
10,1.119813710451126,1.6257548265986972,0.04352028057393101,0.00010361013442484869,7.285354165236155,transformer_text
11,1.2336357070340052,1.6549742354287043,0.05565977469086647,5.1740188306818404e-05,8.021779632568359,transformer_text
12,1.253486105137401,1.582425468497806,0.05722493057449659,0.00018096924759447575,8.741113996505737,transformer_text
13,1.1068821880552504,1.7063275575637817,0.04091781098395586,0.0001022249990556803,9.483532853921254,transformer_text
14,0.8560805320739746,1.8696462247106764,0.0239577639537553,3.3972978902359806e-05,10.228091216087341,transformer_text
15,0.9649141000376807,1.805078347524007,0.0297779082838032,3.1760340789332986e-05,10.96169780890147,transformer_text
16,1.042453749312295,1.8045617938041687,0.033504349645227194,5.488367363189658e-05,11.682566213607789,transformer_text
17,1.1122102042039235,1.5768017636405096,0.03704017514569892,0.00015584761018140448,12.41333250204722,transformer_text
18,1.2757907112439473,1.4814413719707065,0.04890002724197176,0.00014180395131309828,13.139446012179057,transformer_text
19,0.9543912178940244,1.8845490150981479,0.045136378353668585,7.816260525335868e-05,13.865261375904083,transformer_text
20,1.1908258630169763,1.6576187478171454,0.0554437842220068,0.0001454055050594939,14.594075934092205,transformer_text
21,1.1323135793209076,1.7941607303089566,0.039067133950690426,4.3523358827870754e-05,15.354157714049022,transformer_text
22,1.0410126348336537,1.724956704510583,0.04382149957948261,6.115194668786394e-05,16.08195518255234,transformer_text
23,1.04317217402988,1.7162145773569744,0.036069012764427394,4.413587157614529e-05,16.80268386602402,transformer_text
24,0.957935180928972,1.8686356875631545,0.03153174101478524,1.827652967121038e-05,17.52198667526245,transformer_text
25,1.4124605788124933,1.6617539260122511,0.06229436811473635,0.00011246863545642959,18.25334171454112,transformer_text
26,1.1515188316504161,1.661164402961731,0.048044305915633835,5.968361963621444e-05,18.983295543988547,transformer_text
27,1.1744373109605577,1.7285739448335435,0.052566850971844464,3.566006004499892e-05,19.70618135134379,transformer_text
28,1.239963240093655,1.5932663480440776,0.04616160173383024,6.109620961878035e-05,20.421529002984364,transformer_text
29,1.1755419340398576,1.6421596474117703,0.049056832368175186,6.589359448601802e-05,21.129606266816456,transformer_text
30,1.0921042329735227,1.5895619723531935,0.05012380507671171,9.113725455891754e-05,21.83851251602173,transformer_text
31,1.0507914457056258,1.7411006093025208,0.035045984097652964,4.8374382054640184e-05,22.566136395931245,transformer_text
32,1.1007384318444464,1.6443542341391246,0.053044772499965295,3.596310853026807e-05,23.27820175886154,transformer_text
33,1.1530064807997809,1.7298466099633112,0.048920774108005896,0.00011800847844117218,24.00476188659668,transformer_text
34,1.1115815043449402,1.669152902232276,0.041171759056548275,5.336307610074679e-05,24.71347060998281,transformer_text
35,1.0123976253800921,1.7834239535861545,0.032781205191794366,5.693300368471278e-05,25.422631696859995,transformer_text
36,0.9803282684750028,1.8203196658028498,0.03582323787526952,4.294952830403215e-05,26.13637972275416,transformer_text
37,1.1534406310982175,1.734847691324022,0.047931397437221475,6.95205073700183e-05,26.84206587076187,transformer_text
38,1.000471305516031,1.629306389225854,0.04316555315421687,8.177854275951783e-05,27.54808717171351,transformer_text
39,1.0356248782740698,1.7041994863086276,0.03934538493760758,5.395917428864373e-05,28.249168431758882,transformer_text
40,1.1416143112712436,1.7390239503648546,0.04145304920772711,5.3239009705268676e-05,28.95401277542114,transformer_text
41,1.0974852972560458,1.6433109376165602,0.052428120747208595,9.930290656888651e-05,29.699715105692544,transformer_text
42,0.8356366654237112,1.897084845436944,0.03795230574905872,2.7738602107597722e-05,30.40336377620697,transformer_text
