fid,kid_mean,kid_std,scope,label,n_real,n_fake,experiment_mode
285.2750549316406,0.1631854772567749,1.2839232965689007e-07,global,all,37,37,hash_text
321.0724182128906,0.16351071000099182,1.537060398959511e-07,per_class,flora,14,14,hash_text
454.64080810546875,0.4685322046279907,1.488923544457066e-07,per_class,fauna,6,6,hash_text
294.4664611816406,0.18116147816181183,2.334684268134879e-07,per_class,dekoratif,11,11,hash_text
420.9093933105469,0.37409403920173645,1.1876141314814959e-07,per_class,geometris,6,6,hash_text
